"Name","Latitude","Longitude"
"Lakhasar","28.093586","73.876543"
"Nainsar","27.213537","83.252765"
"Dahalapara","26.476602","90.712074"
"Para","25.798882","74.351686"
"Pallempalli","14.51346","78.791105"
"Lathi","27.0298232","71.4462213"
"Dumbarwadi","19.244419","74.013193"
"Jagtara","20.6249787","81.4301051"
"Bagaliya","25.8843501","74.1608431"
"Mathur","13.1762697","80.2447934"
"Mungari","25.2987667","81.9478441"
"Boothakudi","10.64127","78.581277"
"Shenbagampettai","10.1588453","78.6509687"
"ASANPUR","26.297778","86.632891"
"Haladgaon","20.852147","78.873033"
"Kannegala","11.981411","76.996146"
"Rashampalayam","11.193895","78.103219"
"Tand Balidih","23.6679825","86.0449121"
"Pokharia","26.0558561","85.1829012"
"Thiruppachethi","9.7807156","78.3341531"
"Laling/Dhule","20.833039","74.754271"
"Netra","26.578709","73.155029"
"Belon","28.1884316","78.3480532"
"Brahamarkotlu","12.875095","75.003849"
"Halaharvi","15.819781","77.454008"
"Sonapetya","22.335479","87.869477"
"Nokhra","27.668079","72.674974"
"Tidiayasar","28.057867","74.747246"
"Sabli Toll Plaza","28.154095","80.100556"
"Methoon","24.420109","76.503892"
"Palaya Gandharvakottai","10.6122581","79.0305683"
"Patgaon","26.567821","90.218439"
"Fatehpur","25.1214357","76.5731007"
"Dhoki","19.1559589","74.4111722"
"Rajora Khurd","26.8539706","77.7228186"
"Udairamsar","28.023441","73.413482"
"DC Palli","14.6854207","79.5133845"
"Belekari","14.7104272","74.2935113"
"Chajjarasi","28.7017268","77.6197457"
"Baretha or Jajau","26.320813","78.272572"
"Ujara","26.7645774","76.6092921"
"Pandutala","22.390935","80.808638"
"Chhapra","23.6570433","76.6148339"
"Bhatia","21.090354","72.922502"
"Panihaar","26.097998","78.015844"
"Piddhi","26.3486681","82.2470807"
"Fatehpur Rampur","28.437802","77.588752"
"Kheerwa","27.283378","72.323165"
"Hirebagewadi","15.76311","74.64785"
"SONGIR","21.050768","74.784939"
"Chinaganjam","15.698996","80.237627"
"Pampampallam","10.845871","76.83885"
"Khachrol","25.22662","75.0480216"
"Chalageri","14.556782","75.728072"
"Kitlana","28.69299","76.158534"
"Gurapalli","19.638154","85.140017"
"Jindpur","25.859513","80.684572"
"Sosokhurd","23.5487586","85.7556736"
"SauKala","24.599579","84.70284"
"Jungawani","22.377885","79.151005"
"Parsoni Khem","26.451643","85.022817"
"Chittampatti","9.989594","78.244086"
"Salemgarh","26.631703","84.238336"
"Dhadhar","28.3301706","75.0577462"
"Kishorepura","25.135915","75.7966206"
"Fulara","22.043539","79.418753"
"Chapwa","26.731065","84.748063"
"Lasedi","28.7088256","75.4775334"
"Limdi","23.034411","74.15265"
"Padalshingi","19.1388116","75.7488874"
"Lembalakudi","10.299776","78.770713"
"Marur toll plaza","14.5020891","77.6312667"
"Titarpani","23.217097","23.217097"
"Marur toll plaza","14.5020891","77.6312667"
"Gosthani gate","17.71386","83.212194"
"Khatkar Toll plaza","29.3945179","76.2525359"
"KM 74.490 of NH 48 Parakha C","22.698877","88.2863065"
"KM 9.640 of NH 2 KaKarvita","22.7663963","88.0808969"
"Sali Barmandanga","23.629129","88.359582"
"Tamalwadi Toll Plaza","17.8522389","75.9629109"
"Gulabpura","25.634583","15.002951"
"KM 114.430 of NH 117 Namkha","26.806914","88.046597"
"Hattargi","16.1433","74.51696"
"KM 801.120 of NH 31, Pundibar","24.6006131","88.0791528"
"Kognoli","16.5422","74.31825"
"KM 267.250 of NH 60","24.3444855","87.7771199"
"KM 117.050 of NH 31 C Chalsa","22.698877","88.2863065"
"KANHAN KAMPTEE BY PASS/KAMPTEE","21.382312","79.25332"
"Kurana Toll Plaza","28.6278","77.7849"
"chithora","23.725416","23.725416"
"Dilawarpur","19.0989609","78.2133902"
"Akshda","26.7288131","83.2754187"
"Barsoni","25.804725","87.590748"
"Vaghaikulam (Pudukottai)","8.755516","78.06525"
"Nagarhalla Distt Bagalkot","16.290371","75.923507"
"Jaitpur","22.548497","79.600413"
"Nannur","15.7419738","78.0681942"
"Bhatwada","22.79296","73.842845"
"Chaudhariwas","28.9974934","75.6043331"
"Surapattu","13.136678","80.181624"
"Lalanagar","25.266948","82.491513"
"Kelwad","21.47162","78.872554"
"Dahar Toll Plaza","29.31922","76.918442"
"AIT Toll Plaza","25.87995","79.210312"
"TalapadyKm 16.600","12.7590772","74.8743029"
"kasepalli","15.061754","77.630328"
"Purankhedi Toll Plaza","25.1685342","77.6155202"
"Bara","26.6294023","81.3329506"
"Armakthadu","15.486433","77.901078"
"Bankapur","14.90999","75.2798"
"Dhankuni","22.698891","88.288862"
"Banushi","28.932477","79.929189"
"shahabpur","26.949445","81.256453"
"Narayanpura Toll Plaza","24.613529","74.233079"
"Dharer Azizpur Toll Plaza","30.5938815","76.7600168"
"Harro Toll Plaza","25.1154169","81.7543869"
"Baros Toll Plaza","27.335508","78.031048"
"HANDIYA (Sujala) Toll Plaza","25.3788756","82.1567207"
"Itaunja Toll Plaza","27.1034866","80.8814285"
"Chinthapally","17.471528","79.980556"
"Sakapur Toll plaza","16.5356759","77.9444736"
"Pantangi","17.232887","78.960464"
"Hiwargaon pavasa","19.514777","74.2013655"
"Nandgaon Toll Plaza","20.95108","77.788377"
"Bagepalli Toll Plaza","13.79295","77.764358"
"Nangli Toll Plaza","25.648871","92.047617"
"Pithai Toll Plaza","22.912793","72.957362"
"Dumiyani Toll Plaza","21.751451","70.326793"
"Dhandanaka/Durg Byepass","21.214518","81.287962"
"Krishnavaram","17.215448","82.1107"
"Vikravandi Toll Plaza","12.024441","79.538059"
"Jat Gangaicha Toll Plaza","28.275006","76.613363"
"Barahagoda","26.3854208","80.018945"
"Doddakarenahalli","29.071744","77.0601904"
"Manesar Toll Plaza","28.395604","76.98176"
"Hejarmadi","13.1075003","74.7844545"
"Bellur Cross Toll","12.9628049","76.7704144"
"Sadahalli/devanihalli","13.1935464","77.6475256"
"Chowkimen","31.7447","74.9164"
"Motisar/Khanori","26.5812422","72.3237715"
"Thikariya","26.8433318","75.6133062"
"Khedi (Bandanwara)","26.1031317","74.6827633"
"Khair fakir ki dhani","26.1571377","70.9041363"
"Lilamba","26.0707031","74.0081382"
"Ring Road","22.9807285","72.6322195"
"RAMYANA Toll Plaza","29.578541","76.088485"
"Mawikalan","26.602821","81.982887"
"Fanda","23.222189","77.184641"
"Khedshivapur","18.328577","73.853852"
"Manoharpura Toll plaza","27.30536","75.953555"
"CHANDWAD 1","20.321489","74.199773"
"Khalapur-Mumbai Pune expres","18.805258","73.303894"
"CHORYASI","21.3045632","72.9550994"
"SONVAY (INDORE KHALGHA","22.672256","75.836821"
"RAKSHA","25.461791","78.451127"
"KORLAPHADU","17.160047","79.474936"
"NANDGAON PETH","21.00397","77.808386"
"SENDURWAFA","21.088176","80.034156"
"BORKHEDI","20.854771","78.96303"
"NAVAYUGA DEVANAHALLI/S","13.193896","77.649725"
"KASABA (BIJAPUR)","16.786968","75.739873"
"SRIPERUMBADUR","12.98202","79.96853"
"Thane MEP","19.169184","72.966857"
"Airoli MEP","19.153453","72.965769"
"Shilphata NH48 Toll Plaza","19.097652","73.071961"
"Vashi","19.064277","72.980582"
"Bhourasa","23.177486","77.037812"
"Amlaha","23.102459","76.876123"
"Palwal","28.10241255","77.305131"
"Manesar","28.395646","76.982105"
"Kundli","28.102491","77.305193"
"KHALGHAT (INDORE-KHALG)","22.172734","75.456475"
"Kalamboli office","19.035908","73.104801"
"BHARTHAN/KARJAN","22.0576564","73.1318256"
"GURAU (SEMRA ATIKABAD)","26.9962181","78.7774253"
"Krishnagiri- Thoppur","12.00638","78.08062"
"Krishnagiri- Walajahpet Tollway","12.695032","78.621887"
"SIMLIYA","25.169811","76.130709"
"VELANCHETTIYUR","10.6989918","77.9331354"
"Thiruparaithurai","10.88591","78.55721"
"UTHAMAN","23.033742","72.943977"
"AGS LALING POS1","20.832898","74.75434"
"Ponnambalapatti","10.53644","78.25551"
"Nathakkarai","12.54458","78.20119"
"Panipat Elevated Corridor Limite","29.433573","76.970396"
"Pooran Khedi Toll Plaza","25.223579","77.607981"
"Manguli Plaza","20.540258","85.96382"
"THIKARIYA (JAIPUR)","26.843291","75.615706"
"MANDAWADA (GOMATI)","25.203618","73.814626"
"KISHANGARH (BADGAON)","26.595362","74.939468"
"DHANESHWAR","25.072734","75.598339"
"BASSI","25.034007","74.817463"
"AROLI","25.091248","75.198857"
"Daulatpura Toll Plaza","27.086585","75.834442"
"USAKA (CHAMARI)","26.0368509","79.5778943"
"VADODRA","22.413803","73.149437"
"MANDAL (VYARA)","21.1352074","73.4782548"
"KATHPUR","23.4327045","72.8989915"
"TRIYAKHETAL","28.4827231","79.2853682"
"AHMEDABAD (CTM ROAD)","22.975975","72.6499133"
"SIWAYA","29.0954473","77.7103526"
"SORAON","25.5886408","81.8331948"
"GABHANA","28.0629692","77.9460938"
"MAYAR","29.100969","75.884986"
"MAKRAULI KALAN","28.94437","76.610175"
"KUNWARPUR","25.6731114","82.315762"
"MADINA KORSAN","28.937688","76.400375"
"KURALI (BEHRAMPUR)","30.910587","76.532279"
"ITUNJA (BARABHARI)","27.1033716","80.8833828"
"IHMCL DELHI","28.57712526","77.0528824"
"KHALGHATMP-/MAHARASHT","21.75654","75.15639"
"HANDIA","25.3788587","82.1568892"
"HARSA MANSAR","32.0618867","75.6140421"
"GWALIOR BYPASS (MEHRA)","26.238333","78.175503"
"GHARAUNDA (KARNAL)","29.581178","76.978456"
"DAKHINA SEKHPUR","26.5245","81.0661"
"AMBALA","30.527521","76.813283"
"DAHAR","29.409337","76.91862"
"CHANDIMANDIR","30.739026","76.898026"
"BARETHA (MORTH)","26.932092","77.3933147"
"BARAJORE","26.3906532","80.0334071"
"PANTHANGI","17.233297","78.96063"
"KAZA 1","16.385526","80.533265"
"AMAKATHADU","15.486778","77.901024"
"MANSAR (KAMPTEE-KANHAI","21.443953","79.29762"
"ΚΑΜΡΤΕΕ ΚΑNHAN BYPASS","21.245085","79.249092"
"NAGPUR BYPASS","21.027041","79.068205"
"KARANJA (GHADGE)","21.155704","78.389377"
"GONDHKHAIRI/KONDHALI","21.136812","78.896247"
"TASAWADE","17.365985","74.12311"
"NBTPL","13.090898","77.399933"
"NAGARHALLA","16.290559","75.923577"
"KIRASAVE (Kadabhalli)","12.958305","76.623373"
"SARDEWADI/INDAPUR","18.332284","73.852319"
"TALEGAON","18.713843","73.645865"
"LALING (DHULE)","20.832898","74.75434"
"PAMPAMPALAM","10.81315","76.79799"
"ELLIYARPATHY","9.7830172","78.0944911"
"VIKRAVANDI(VILLUPURAM)","12.02445","79.53711"
"SURAPATTU (CHENNAI BYPA","13.1342826","80.1761722"
"PUDURPANDIYAPURAM","8.8628","78.1172"
"PARANUR (CHENGALPET)","12.72421","79.98184"
"KISHORPUR (CHANDERMORE","24.563471","88.019785"
"JALADHULAGORI (DHULAGAF","22.573578","88.181692"
"GOPGRAM (SHIBPUR)","24.150851","88.186421"
"DEHIHALLI","12.97","76.23"
"AGANAMPUDI-VIZAG","17.68","83.15"
"TSPA","17.36","78.47"
"RAJENDRANAGAR","17.32","78.37"
"BONGULURU","17.22","78.58"
"GHATKESAR","17.45","78.68"
"SHAMEERPET","17.60","78.47"
"SHAMSHABAD","17.35","78.36"
"MEDCHAL","17.63","78.48"
"PEDHA AMBERPET","17.37","78.68"
"AUTONAGAR","17.37","78.68"
"PATANCHERU1","17.52","78.27"
"NANAKRAMGUDA TOLL PLAZ","17.40","78.35"
"PUNDAG Toll Plaza","23.542972","85.502611"
"KURANA Toll Plaza","28.628194","77.785806"
"BRAJRAJNAGAR Toll Plaza","21.861111","83.934583"
"Parsauni Khem Toll Plaza","26.453778","85.021861"
"Babina Toll Plaza","25.217528","78.464972"
"Dapper Toll Plaza","30.526639","76.812639"
"Lakhanpur toll Plaza","32.380361","75.582806"
"Niyamatpur Toll Plaza","28.81425","78.902139"
"Vighakhet","24.790056","78.449167"
"Madrak Toll Plaza","27.335083","78.031167"
"Dasna Toll Plaza","28.581917","77.789444"
"Kundli Toll Plaza","28.916778","77.160556"
"Cholang Toll plaza","31.624583","75.640639"
"Paradip Toll Plaza","19.326639","84.7935"
"Bhilai Toll Plaza","21.206556","81.407806"
"Chhuhipali Toll Plaza","21.300806","82.944222"
"Dhank Toll Plaza","21.226889","82.434833"
"WATLTP Sakapur Toll Plaza","16.535667","77.944917"
"JojroKaKhera Toll Plaza","25.083361","74.6245"
"Lambiya Kalan Toll Plaza","25.586972","74.595417"
"Khedi Toll Plaza","26.123028","74.692667"
"AIT Toll Plaza","25.880111","79.210306"
"Kozhinjiipatti Toll Plaza","10.194028","77.909167"
"Semri Toll Plaza","25.637222","78.875306"
"ELIYARPATHI TOLL PLAZA","9.783028","78.0945"
"ALEP Main Plaza Toll Plaza","26.844611","80.720139"
"Handia Toll Plaza","25.378972","82.156472"
"VALVANTHANKOTTAI Toll Pla","10.744944","78.833139"
"Kelwad Toll Plaza","21.488861","78.859583"
"Chennasamaduram Plaza","12.910972","79.400917"
"Runni Shaidpur Toll Plaza","25.373889","85.494194"
"18th Mile Toll Plaza","24.823167","87.967028"
"Gazole Toll Plaza","25.194556","88.181944"
"Khairabad Toll Plaza","27.505472","80.751056"
"KOKHRAJ Sirohi Toll Plaza","25.576333","81.529583"
"Nawabganj Toll Plaza","25.564972","81.745861"
"Sivaya toll Plaza","29.095","77.710722"
"Gabhana toil Plaza","28.062806","77.946056"
"Mayar Toll Plaza","29.100528","75.884556"
"Barajore Toll Plaza","26.385833","80.018806"
"Srinagar Toll Plaza","28.0065","77.332722"
"Mahuvan Toll Plaza","27.336472","77.739667"
"Mohania Toll Plaza","25.18825","83.560278"
"Sasaram Toll Plaza","24.956778","83.9545"
"Jaladhulagori Toll Plaza","22.574111","88.185694"
"Debra Toll Plaza","22.39675","87.52325"
"Manguli Toll Plaza","20.539861","85.963778"
"Chandimandir Toll Plaza","30.737889","76.897611"
"Makrauli Toll Plaza","28.943333","76.608361"
"Rajchandrapur Toll Plaza","22.654222","88.325139"
"Anatram Toll Plaza","25.595056","79.268278"
"Dahar Toll Plaza","29.319611","76.918972"
"BSC KURALI Toll Plaza","30.908111","76.54625"
"Luharii Toll Plaza","28.447944","77.708194"
"Ahmedabad (Ring Road) Toll Pl","22.969028","72.659056"
"Chandermore Toll Plaza","24.452389","88.038611"
"Shibpur Toll Plaza","24.150194","88.187083"
"18th Mile Toll Plaza","24.80975","87.949"
"DURG SHIVNATH EXPRESSW","21.214556","81.288"
"ALEP Main Plaza Agra Toll Plaz","27.050611","78.28125"
"Indra Nagar Toll Plaza","25.829333","73.459972"
"GVK Jaipur Expressway","26.595583","74.940056"
"Gegal Toll Plaza","26.551722","74.780417"
"Pipalaz Toll Plaza","26.158444","74.3725"
"Thikariya Toll Plaza","26.842806","75.615778"
"Malera Toll Plaza","24.712333","73.093583"
"LT Panipat Toll Plaza","29.432694","76.970639"
"Madina Toll Plaza","28.937083","76.399361"
"Rasoiya Dhamna Toll Plaza","24.3235","85.387389"
"Uthaman Sirohi","25.027444","72.935917"
"Surathkal Toll Plaza","13.013333","74.792889"
"Jaloli Toll Plaza","30.586083","76.945167"
"Raipur Pali Barmer Highway Tol","26.063389","74.0595"
"Doll Jodhpur Pachpadara Toll P.","26.063583","72.688833"
"Kini Toll Plaza","16.880056","74.296972"
"Rasampalayam Plaza","11.195167","78.104583"
"Halol Toll Plaza","22.648278","73.520417"
"Modasa Toll Plaza","23.507444","73.302889"
"Hattikeri Toll Plaza","14.710583","74.293333"
"Dhareshwar Toll Plaza","14.346611","74.424528"
"Shiroor Toll Plaza","13.933694","74.596722"
"Shedung Toll Plaza","18.9785","73.1805"
"Latur Toll Plaza","18.126889","76.35725"
"Chhajarsi Toll Plaza","28.701583","77.620861"
"Senguruchi Toll Plaza","11.706111","79.322917"
"BHAGAN Toll Plaza","29.082111","77.058778"
"Badarpur Toll Plaza","28.475472","77.305083"
"Birami Toll Plaza","25.371139","73.202028"
"Thirumandurai Toll Plaza","11.392667","78.986417"
"KADATHANAMALE Toll Plaza","13.212556","77.554944"
"Gunjur Toll Plaza","13.209167","77.55675"
"Chitora Toll Plaza","23.725417","78.808972"
"Titarpani Toll Plaza","23.217194","79.042889"
"KHEDA Toll Plaza","22.684667","72.880889"
"AHMEDABAD IRB Toll Plaza","22.976444","72.648778"
"SONWAY Toll Plaza","22.612917","75.780583"
"VADODARA IRB Toll Plaza","22.413306","73.149889"
"KARJAN VBTL Toll Plaza","22.008306","73.112278"
"Gondkhairi Toll Plaza","21.136972","78.896556"
"Mandal Toll Plaza","21.134944","73.478333"
"Dehu Road Toll Plaza","18.700861","73.690778"
"Sonapetya Toll Plaza","22.334194","87.870167"
"Shedung YCEW Toll Plaza","18.965889","73.161194"
"Sambhu Toll Plaza","30.3833","77.2167"
"Kaniyur","11.01128","77.07247"
"Palayam","12.00858","78.08243"
"Sihori Uparhar/Kokhraj","25.432571","81.851311"
"dapar","30.37818","76.776695"
"Brajarajnagar (Nuadeeh)","21.85","84.029999"
"Gaurau","26.9962181","78.7774253"
"Usaka(Chameri)","26.0368509","79.5778943"
"beharmpur","30.910587","76.532279"
"Bharthana/ Karjan","22.0576564","73.1318256"
"Butati (Kucehra)","27.0766","73.9607"
"VenkatachelamNellore/","14.3696","79.8555"
"Khedko Daula","28.3083078","76.8958358"
"Moratandi","26.4758","80.1783"